Passage,Week of entry,Number of crossings
Bab-Al Mandab Strait,2022-01-03,394
Bab-Al Mandab Strait,2022-01-10,391
Bab-Al Mandab Strait,2022-01-17,386
Bab-Al Mandab Strait,2022-01-24,394
Bab-Al Mandab Strait,2022-01-31,415
Bab-Al Mandab Strait,2022-02-07,443
Bab-Al Mandab Strait,2022-02-14,364
Bab-Al Mandab Strait,2022-02-21,424
Bab-Al Mandab Strait,2022-02-28,394
Bab-Al Mandab Strait,2022-03-07,418
Bab-Al Mandab Strait,2022-03-14,409
Bab-Al Mandab Strait,2022-03-21,395
Bab-Al Mandab Strait,2022-03-28,439
Bab-Al Mandab Strait,2022-04-04,440
Bab-Al Mandab Strait,2022-04-11,408
Bab-Al Mandab Strait,2022-04-18,417
Bab-Al Mandab Strait,2022-04-25,445
Bab-Al Mandab Strait,2022-05-02,430
Bab-Al Mandab Strait,2022-05-09,392
Bab-Al Mandab Strait,2022-05-16,402
Bab-Al Mandab Strait,2022-05-23,433
Bab-Al Mandab Strait,2022-05-30,443
Bab-Al Mandab Strait,2022-06-06,443
Bab-Al Mandab Strait,2022-06-13,445
Bab-Al Mandab Strait,2022-06-20,424
Bab-Al Mandab Strait,2022-06-27,473
Bab-Al Mandab Strait,2022-07-04,457
Bab-Al Mandab Strait,2022-07-11,466
Bab-Al Mandab Strait,2022-07-18,461
Bab-Al Mandab Strait,2022-07-25,452
Bab-Al Mandab Strait,2022-08-01,462
Bab-Al Mandab Strait,2022-08-08,460
Bab-Al Mandab Strait,2022-08-15,453
Bab-Al Mandab Strait,2022-08-22,453
Bab-Al Mandab Strait,2022-08-29,491
Bab-Al Mandab Strait,2022-09-05,444
Bab-Al Mandab Strait,2022-09-12,462
Bab-Al Mandab Strait,2022-09-19,440
Bab-Al Mandab Strait,2022-09-26,478
Bab-Al Mandab Strait,2022-10-03,429
Bab-Al Mandab Strait,2022-10-10,458
Bab-Al Mandab Strait,2022-10-17,467
Bab-Al Mandab Strait,2022-10-24,473
Bab-Al Mandab Strait,2022-10-31,508
Bab-Al Mandab Strait,2022-11-07,486
Bab-Al Mandab Strait,2022-11-14,439
Bab-Al Mandab Strait,2022-11-21,492
Bab-Al Mandab Strait,2022-11-28,453
Bab-Al Mandab Strait,2022-12-05,473
Bab-Al Mandab Strait,2022-12-12,460
Bab-Al Mandab Strait,2022-12-19,472
Bab-Al Mandab Strait,2022-12-26,494
Bab-Al Mandab Strait,2023-01-02,501
Bab-Al Mandab Strait,2023-01-09,450
Bab-Al Mandab Strait,2023-01-16,485
Bab-Al Mandab Strait,2023-01-23,462
Bab-Al Mandab Strait,2023-01-30,490
Bab-Al Mandab Strait,2023-02-06,441
Bab-Al Mandab Strait,2023-02-13,426
Bab-Al Mandab Strait,2023-02-20,454
Bab-Al Mandab Strait,2023-02-27,487
Bab-Al Mandab Strait,2023-03-06,454
Bab-Al Mandab Strait,2023-03-13,493
Bab-Al Mandab Strait,2023-03-20,453
Bab-Al Mandab Strait,2023-03-27,512
Bab-Al Mandab Strait,2023-04-03,482
Bab-Al Mandab Strait,2023-04-10,496
Bab-Al Mandab Strait,2023-04-17,496
Bab-Al Mandab Strait,2023-04-24,516
Bab-Al Mandab Strait,2023-05-01,500
Bab-Al Mandab Strait,2023-05-08,544
Bab-Al Mandab Strait,2023-05-15,531
Bab-Al Mandab Strait,2023-05-22,524
Bab-Al Mandab Strait,2023-05-29,539
Bab-Al Mandab Strait,2023-06-05,503
Bab-Al Mandab Strait,2023-06-12,499
Bab-Al Mandab Strait,2023-06-19,531
Bab-Al Mandab Strait,2023-06-26,516
Bab-Al Mandab Strait,2023-07-03,495
Bab-Al Mandab Strait,2023-07-10,484
Bab-Al Mandab Strait,2023-07-17,491
Bab-Al Mandab Strait,2023-07-24,488
Bab-Al Mandab Strait,2023-07-31,494
Bab-Al Mandab Strait,2023-08-07,477
Bab-Al Mandab Strait,2023-08-14,495
Bab-Al Mandab Strait,2023-08-21,464
Bab-Al Mandab Strait,2023-08-28,527
Bab-Al Mandab Strait,2023-09-04,489
Bab-Al Mandab Strait,2023-09-11,514
Bab-Al Mandab Strait,2023-09-18,522
Bab-Al Mandab Strait,2023-09-25,510
Bab-Al Mandab Strait,2023-10-02,517
Bab-Al Mandab Strait,2023-10-09,523
Bab-Al Mandab Strait,2023-10-16,545
Bab-Al Mandab Strait,2023-10-23,503
Bab-Al Mandab Strait,2023-10-30,528
Bab-Al Mandab Strait,2023-11-06,499
Bab-Al Mandab Strait,2023-11-13,510
Bab-Al Mandab Strait,2023-11-20,545
Bab-Al Mandab Strait,2023-11-27,503
Bab-Al Mandab Strait,2023-12-04,508
Bab-Al Mandab Strait,2023-12-11,498
Bab-Al Mandab Strait,2023-12-18,377
Bab-Al Mandab Strait,2023-12-25,358
Bab-Al Mandab Strait,2024-01-01,303
Bab-Al Mandab Strait,2024-01-08,288
Bab-Al Mandab Strait,2024-01-15,250
Bab-Al Mandab Strait,2024-01-22,226
Bab-Al Mandab Strait,2024-01-29,232
Bab-Al Mandab Strait,2024-02-05,228
Bab-Al Mandab Strait,2024-02-12,230
Bab-Al Mandab Strait,2024-02-19,241
Bab-Al Mandab Strait,2024-02-26,229
Bab-Al Mandab Strait,2024-03-04,212
Bab-Al Mandab Strait,2024-03-11,221
Bab-Al Mandab Strait,2024-03-18,207
Bab-Al Mandab Strait,2024-03-25,214
Bab-Al Mandab Strait,2024-04-01,196
Cape of Good Hope,2022-01-03,341
Cape of Good Hope,2022-01-10,324
