Passage,Month,Number of crossings,UK_TEU
Bab-Al Mandab Strait,2022-01,1980,
Bab-Al Mandab Strait,2022-02,1625,
Bab-Al Mandab Strait,2022-03,1661,
Bab-Al Mandab Strait,2022-04,1710,
Bab-Al Mandab Strait,2022-05,2100,
Bab-Al Mandab Strait,2022-06,1785,
Bab-Al Mandab Strait,2022-07,1836,
Bab-Al Mandab Strait,2022-08,2319,
Bab-Al Mandab Strait,2022-09,1824,
Bab-Al Mandab Strait,2022-10,2335,
Bab-Al Mandab Strait,2022-11,1870,
Bab-Al Mandab Strait,2022-12,1899,
Bab-Al Mandab Strait,2023-01,2388,
Bab-Al Mandab Strait,2023-02,1808,
Bab-Al Mandab Strait,2023-03,1912,
Bab-Al Mandab Strait,2023-04,1990,
Bab-Al Mandab Strait,2023-05,2638,
Bab-Al Mandab Strait,2023-06,2049,
Bab-Al Mandab Strait,2023-07,2452,
Bab-Al Mandab Strait,2023-08,1963,
Bab-Al Mandab Strait,2023-09,2035,
Bab-Al Mandab Strait,2023-10,2616,
Bab-Al Mandab Strait,2023-11,2057,
Bab-Al Mandab Strait,2023-12,1741,
Bab-Al Mandab Strait,2024-01,1299,
Bab-Al Mandab Strait,2024-02,928,
Bab-Al Mandab Strait,2024-03,854,
Bab-Al Mandab Strait,2024-04,196,
Cape of Good Hope,2022-01,1668,776.4
Cape of Good Hope,2022-02,1339,706.0
Cape of Good Hope,2022-03,1247,608.0
Cape of Good Hope,2022-04,1340,936.8
Cape of Good Hope,2022-05,1688,991.4000000000001
Cape of Good Hope,2022-06,1400,2712.9
Cape of Good Hope,2022-07,1357,2080.5
Cape of Good Hope,2022-08,1706,2223.5
Cape of Good Hope,2022-09,1405,1948.2
Cape of Good Hope,2022-10,1685,1165.4
Cape of Good Hope,2022-11,1324,1239.8
Cape of Good Hope,2022-12,1314,1642.9
Cape of Good Hope,2023-01,1737,1954.2
Cape of Good Hope,2023-02,1295,1791.3000000000002
Cape of Good Hope,2023-03,1400,1371.1
Cape of Good Hope,2023-04,1390,1531.0
Cape of Good Hope,2023-05,1879,1996.5
Cape of Good Hope,2023-06,1479,2088.7
Cape of Good Hope,2023-07,1946,2451.0
Cape of Good Hope,2023-08,1586,2729.5
Cape of Good Hope,2023-09,801,2092.8
Cape of Good Hope,2023-10,1934,1296.6
Cape of Good Hope,2023-11,1555,550.0
Cape of Good Hope,2023-12,1714,6214.0
Cape of Good Hope,2024-01,2978,38536.9
Cape of Good Hope,2024-02,1988,48164.2
Cape of Good Hope,2024-03,2586,44427.7
Dover,2022-01,6245,89500.5
Dover,2022-02,4931,81495.0
Dover,2022-03,5129,95134.20000000001
Dover,2022-04,5111,101187.3
Dover,2022-05,6376,95157.4
Dover,2022-06,5333,93786.20000000001
Dover,2022-07,3929,89400.9
Dover,2022-08,2575,84917.9
Dover,2022-09,3973,94613.2
Dover,2022-10,6552,92281.8
Dover,2022-11,5371,84880.6
Dover,2022-12,4960,76503.0
Dover,2023-01,6541,71701.8
Dover,2023-02,5524,77555.0
Dover,2023-03,5163,80817.6
Dover,2023-04,5610,82126.0
Dover,2023-05,5525,89415.2
Dover,2023-06,5353,92013.9
Dover,2023-07,6473,91640.9
Dover,2023-08,5114,87962.79999999999
Dover,2023-09,5235,84160.9
Dover,2023-10,2528,85793.29999999999
Dover,2023-11,5241,56487.5
Dover,2023-12,5014,28369.3
Dover,2024-01,6432,61481.8
Dover,2024-02,4829,77962.8
Dover,2024-03,4912,87716.1
Dover,2024-04,1087,92054.1
Hormuz,2022-01,2495,2585.4
Hormuz,2022-02,2439,3986.5
Hormuz,2022-03,2660,5478.5
Hormuz,2022-04,2802,6671.7
Hormuz,2022-05,3347,5955.7
Hormuz,2022-06,2675,5219.6
Hormuz,2022-07,2487,4460.7
Hormuz,2022-08,3586,4236.9
Hormuz,2022-09,2552,5756.5
Hormuz,2022-10,3368,4544.0
Hormuz,2022-11,2208,4516.9
Hormuz,2022-12,1973,3283.2000000000003
Hormuz,2023-01,2416,3870.4
Hormuz,2023-02,2292,3260.6
Hormuz,2023-03,2413,4881.5
Hormuz,2023-04,2642,4302.1
Hormuz,2023-05,3642,4679.5
Hormuz,2023-06,2850,5653.400000000001
Hormuz,2023-07,3436,4180.4
Hormuz,2023-08,2812,4083.9
Hormuz,2023-09,2873,3824.2999999999997
Hormuz,2023-10,3175,3465.9
Hormuz,2023-11,1900,2424.9
Hormuz,2023-12,1907,566.7
Hormuz,2024-01,2321,875.5
Hormuz,2024-02,1821,1728.7
Hormuz,2024-03,2007,5124.2
Hormuz,2024-04,544,2630.1
Suez,2022-01,1774,50638.899999999994
Suez,2022-02,1464,52123.9
Suez,2022-03,1456,57654.8
Suez,2022-04,1593,58973.0
Suez,2022-05,1856,55660.0
Suez,2022-06,1672,44009.5
Suez,2022-07,1694,50131.9
Suez,2022-08,2143,56492.4
Suez,2022-09,1697,45306.600000000006
Suez,2022-10,2127,42436.9
Suez,2022-11,1683,32793.2
Suez,2022-12,1740,37390.2
Suez,2023-01,2163,35848.5
Suez,2023-02,1551,32153.800000000003
Suez,2023-03,1799,47809.6
Suez,2023-04,1912,49312.3
Suez,2023-05,2350,49021.5
Suez,2023-06,1814,49508.0
Suez,2023-07,2096,57428.0
Suez,2023-08,1669,55733.7
Suez,2023-09,1655,49907.399999999994
Suez,2023-10,2307,48270.399999999994
Suez,2023-11,1840,30331.0
Suez,2023-12,1627,6094.200000000001
Suez,2024-01,1330,4976.0
Suez,2024-02,893,963.4
Suez,2024-03,705,798.2
Suez,2024-04,160,871.3
Taiwan Strait,2022-01,4745,13711.0
Taiwan Strait,2022-02,4164,7092.6
Taiwan Strait,2022-03,4567,12024.4
Taiwan Strait,2022-04,4783,11954.3
Taiwan Strait,2022-05,6115,10835.300000000001
Taiwan Strait,2022-06,5141,10923.800000000001
Taiwan Strait,2022-07,5447,14878.5
Taiwan Strait,2022-08,6632,12568.400000000001
Taiwan Strait,2022-09,5184,8790.4
Taiwan Strait,2022-10,5540,8693.5
Taiwan Strait,2022-11,4861,8001.6
Taiwan Strait,2022-12,4655,8474.0
Taiwan Strait,2023-01,5592,9911.800000000001
Taiwan Strait,2023-02,4862,7937.1
Taiwan Strait,2023-03,5267,10743.1
Taiwan Strait,2023-04,5202,9521.199999999999
Taiwan Strait,2023-05,6674,12287.3
Taiwan Strait,2023-06,5128,15574.400000000001
Taiwan Strait,2023-07,6597,14120.4
Taiwan Strait,2023-08,4610,14633.0
Taiwan Strait,2023-09,4652,13588.400000000001
Taiwan Strait,2023-10,5084,10356.3
Taiwan Strait,2023-11,4260,4280.8
Taiwan Strait,2023-12,4515,8733.0
Taiwan Strait,2024-01,5693,9898.5
Taiwan Strait,2024-02,4259,11799.0
Taiwan Strait,2024-03,5233,11732.8
Taiwan Strait,2024-04,1178,21932.800000000003
