Passage,Date,TEU
Cape of Good Hope,2020-01,511.2
Cape of Good Hope,2020-02,334.7
Cape of Good Hope,2020-03,730.3
Cape of Good Hope,2020-04,1493.4
Cape of Good Hope,2020-05,4806.4
Cape of Good Hope,2020-06,2669.0
Cape of Good Hope,2020-07,5794.9
Cape of Good Hope,2020-08,4294.9
Cape of Good Hope,2020-09,1857.6
Cape of Good Hope,2020-10,1045.2
Cape of Good Hope,2020-11,844.4
Cape of Good Hope,2020-12,553.1
Cape of Good Hope,2021-01,342.3
Cape of Good Hope,2021-02,641.4
Cape of Good Hope,2021-03,680.5999999999999
Cape of Good Hope,2021-04,4266.1
Cape of Good Hope,2021-05,1671.8000000000002
Cape of Good Hope,2021-06,2196.5
Cape of Good Hope,2021-07,1756.6
Cape of Good Hope,2021-08,1823.1000000000001
Cape of Good Hope,2021-09,2250.7
Cape of Good Hope,2021-10,880.5999999999999
Cape of Good Hope,2021-11,546.3
Cape of Good Hope,2021-12,791.9
Cape of Good Hope,2022-01,776.4
Cape of Good Hope,2022-02,706.0
Cape of Good Hope,2022-03,608.0
Cape of Good Hope,2022-04,936.8
Cape of Good Hope,2022-05,991.4000000000001
Cape of Good Hope,2022-06,2712.9
Cape of Good Hope,2022-07,2080.5
Cape of Good Hope,2022-08,2223.5
Cape of Good Hope,2022-09,1948.2
Cape of Good Hope,2022-10,1165.4
Cape of Good Hope,2022-11,1239.8
Cape of Good Hope,2022-12,1642.9
Cape of Good Hope,2023-01,1954.2
Cape of Good Hope,2023-02,1791.3000000000002
Cape of Good Hope,2023-03,1371.1
Cape of Good Hope,2023-04,1531.0
Cape of Good Hope,2023-05,1996.5
Cape of Good Hope,2023-06,2088.7
Cape of Good Hope,2023-07,2451.0
Cape of Good Hope,2023-08,2729.5
Cape of Good Hope,2023-09,2092.8
Cape of Good Hope,2023-10,1296.6
Cape of Good Hope,2023-11,550.0
Cape of Good Hope,2023-12,6214.0
Cape of Good Hope,2024-01,38536.9
Cape of Good Hope,2024-02,48164.2
Cape of Good Hope,2024-03,44427.7
Cape of Good Hope,2024-04,57129.7
Cape of Good Hope,2024-05,69875.8
Cape of Good Hope,2024-06,77482.3
Cape of Good Hope,2024-07,74853.0
Cape of Good Hope,2024-08,83575.1
Cape of Good Hope,2024-09,78899.4
Cape of Good Hope,2024-10,81450.1
Cape of Good Hope,2024-11,69634.5
Cape of Good Hope,2024-12,62929.5
Dover,2020-01,85419.3
Dover,2020-02,85763.2
Dover,2020-03,82105.2
Dover,2020-04,82173.2
Dover,2020-05,61766.3
Dover,2020-06,75783.5
Dover,2020-07,88424.5
Dover,2020-08,91099.6
Dover,2020-09,99842.3
Dover,2020-10,98404.20000000001
Dover,2020-11,96034.6
Dover,2020-12,94136.7
Dover,2021-01,100821.6
Dover,2021-02,86503.5
Dover,2021-03,95281.1
Dover,2021-04,97586.1
Dover,2021-05,94377.1
Dover,2021-06,89636.3
Dover,2021-07,85631.5
Dover,2021-08,81083.4
Dover,2021-09,89456.3
Dover,2021-10,90854.9
Dover,2021-11,91869.6
Dover,2021-12,86252.8
Dover,2022-01,89500.5
Dover,2022-02,81495.0
Dover,2022-03,95134.20000000001
Dover,2022-04,101187.3
Dover,2022-05,95157.4
Dover,2022-06,93786.20000000001
Dover,2022-07,89400.9
Dover,2022-08,84917.9
Dover,2022-09,94613.2
Dover,2022-10,92281.8
Dover,2022-11,84880.6
Dover,2022-12,76503.0
Dover,2023-01,71701.8
Dover,2023-02,77555.0
Dover,2023-03,80817.6
Dover,2023-04,82126.0
Dover,2023-05,89415.2
Dover,2023-06,92013.9
Dover,2023-07,91640.9
Dover,2023-08,87962.79999999999
Dover,2023-09,84160.9
Dover,2023-10,85793.29999999999
Dover,2023-11,56487.5
Dover,2023-12,28369.3
Dover,2024-01,61481.8
Dover,2024-02,77962.8
