year_month,side_a,side_b,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low
2020-01,Government of Israel,Hamas,0,0,0,3,3,3,3
2021-05,Government of Israel,Hamas,1,67,153,1,222,222,222
2021-08,Government of Israel,Hamas,1,2,1,1,5,5,5
2021-09,Government of Israel,Hamas,0,3,0,0,3,3,3
2021-11,Government of Israel,Hamas,0,1,1,0,2,2,2
2021-12,Government of Israel,Hamas,0,1,0,0,1,1,1
2022-01,Government of Israel,Hamas,2,0,0,0,2,2,2
2022-04,Government of Israel,Hamas,1,0,0,0,1,1,1
2022-10,Government of Israel,Hamas,0,2,2,1,5,5,5
2022-11,Government of Israel,Hamas,0,0,2,0,2,2,2
2022-12,Government of Israel,Hamas,0,1,0,0,1,1,1
2023-01,Government of Israel,Hamas,0,2,0,2,4,4,4
2023-02,Government of Israel,Hamas,0,5,0,0,5,7,5
2023-03,Government of Israel,Hamas,0,2,0,6,8,8,8
2023-05,Government of Israel,Hamas,0,5,1,0,6,6,6
2023-06,Government of Israel,Hamas,0,1,0,0,1,1,1
2023-07,Government of Israel,Hamas,1,4,0,0,5,5,5
2023-09,Government of Israel,Hamas,0,5,2,0,7,7,7
2023-10,Government of Israel,Hamas,398,111,7015,2998,10522,10631,10463
2023-11,Government of Israel,Hamas,62,34,4723,2287,7106,7115,7105
2023-12,Government of Israel,Hamas,106,4,5368,3287,8765,8749,8764
2024-01,Government of Israel,Hamas,50,8,2199,820,3077,3077,3077
2024-02,Government of Israel,Hamas,17,6,1395,1120,2538,2533,2538
2024-03,Government of Israel,Hamas,15,13,1209,1153,2390,2389,2390
2024-04,Government of Israel,Hamas,7,7,597,523,1134,1134,1134
2024-05,Government of Israel,Hamas,33,1,933,548,1515,1515,1515
2024-06,Government of Israel,Hamas,25,9,768,703,1505,1519,1505
2024-07,Government of Israel,Hamas,14,6,726,994,1740,1742,1739
2024-08,Government of Israel,Hamas,14,7,656,770,1447,1495,1447
2024-09,Government of Israel,Hamas,8,2,463,545,1018,1018,1017
2024-10,Government of Israel,Hamas,18,10,752,1207,1987,1988,1987
2024-11,Government of Israel,Hamas,16,0,318,1087,1421,1424,1400
2024-12,Government of Israel,Hamas,12,5,259,1082,1358,1363,1323
