Passage,Week of entry,Number of crossings
Bab-Al Mandab Strait,03/01/2022,394
Bab-Al Mandab Strait,10/01/2022,391
Bab-Al Mandab Strait,17/01/2022,386
Bab-Al Mandab Strait,24/01/2022,394
Bab-Al Mandab Strait,31/01/2022,415
Bab-Al Mandab Strait,07/02/2022,443
Bab-Al Mandab Strait,14/02/2022,364
Bab-Al Mandab Strait,21/02/2022,424
Bab-Al Mandab Strait,28/02/2022,394
Bab-Al Mandab Strait,07/03/2022,418
Bab-Al Mandab Strait,14/03/2022,409
Bab-Al Mandab Strait,21/03/2022,395
Bab-Al Mandab Strait,28/03/2022,439
Bab-Al Mandab Strait,04/04/2022,440
Bab-Al Mandab Strait,11/04/2022,408
Bab-Al Mandab Strait,18/04/2022,417
Bab-Al Mandab Strait,25/04/2022,445
Bab-Al Mandab Strait,02/05/2022,430
Bab-Al Mandab Strait,09/05/2022,392
Bab-Al Mandab Strait,16/05/2022,402
Bab-Al Mandab Strait,23/05/2022,433
Bab-Al Mandab Strait,30/05/2022,443
Bab-Al Mandab Strait,06/06/2022,443
Bab-Al Mandab Strait,13/06/2022,445
Bab-Al Mandab Strait,20/06/2022,424
Bab-Al Mandab Strait,27/06/2022,473
Bab-Al Mandab Strait,04/07/2022,457
Bab-Al Mandab Strait,11/07/2022,466
Bab-Al Mandab Strait,18/07/2022,461
Bab-Al Mandab Strait,25/07/2022,452
Bab-Al Mandab Strait,01/08/2022,462
Bab-Al Mandab Strait,08/08/2022,460
Bab-Al Mandab Strait,15/08/2022,453
Bab-Al Mandab Strait,22/08/2022,453
Bab-Al Mandab Strait,29/08/2022,491
Bab-Al Mandab Strait,05/09/2022,444
Bab-Al Mandab Strait,12/09/2022,462
Bab-Al Mandab Strait,19/09/2022,440
Bab-Al Mandab Strait,26/09/2022,478
Bab-Al Mandab Strait,03/10/2022,429
Bab-Al Mandab Strait,10/10/2022,458
Bab-Al Mandab Strait,17/10/2022,467
Bab-Al Mandab Strait,24/10/2022,473
Bab-Al Mandab Strait,31/10/2022,508
Bab-Al Mandab Strait,07/11/2022,486
Bab-Al Mandab Strait,14/11/2022,439
Bab-Al Mandab Strait,21/11/2022,492
Bab-Al Mandab Strait,28/11/2022,453
Bab-Al Mandab Strait,05/12/2022,473
Bab-Al Mandab Strait,12/12/2022,460
Bab-Al Mandab Strait,19/12/2022,472
Bab-Al Mandab Strait,26/12/2022,494
Bab-Al Mandab Strait,02/01/2023,501
Bab-Al Mandab Strait,09/01/2023,450
Bab-Al Mandab Strait,16/01/2023,485
Bab-Al Mandab Strait,23/01/2023,462
Bab-Al Mandab Strait,30/01/2023,490
Bab-Al Mandab Strait,06/02/2023,441
Bab-Al Mandab Strait,13/02/2023,426
Bab-Al Mandab Strait,20/02/2023,454
Bab-Al Mandab Strait,27/02/2023,487
Bab-Al Mandab Strait,06/03/2023,454
Bab-Al Mandab Strait,13/03/2023,493
Bab-Al Mandab Strait,20/03/2023,453
Bab-Al Mandab Strait,27/03/2023,512
Bab-Al Mandab Strait,03/04/2023,482
Bab-Al Mandab Strait,10/04/2023,496
Bab-Al Mandab Strait,17/04/2023,496
Bab-Al Mandab Strait,24/04/2023,516
Bab-Al Mandab Strait,01/05/2023,500
Bab-Al Mandab Strait,08/05/2023,544
Bab-Al Mandab Strait,15/05/2023,531
Bab-Al Mandab Strait,22/05/2023,524
Bab-Al Mandab Strait,29/05/2023,539
Bab-Al Mandab Strait,05/06/2023,503
Bab-Al Mandab Strait,12/06/2023,499
Bab-Al Mandab Strait,19/06/2023,531
Bab-Al Mandab Strait,26/06/2023,516
Bab-Al Mandab Strait,03/07/2023,495
